userID,poiID,numberofPhotos,startTime,stopTime,seqID,poiTheme,poiFreq,temperature (C),precipitation (mm),cloud_cover (%),windspeed (km/h)
10155298@N00,F304,1,1169215541,1169215541,18,stradedifirenze,16,8.5,0.0,100.0,6.1
10155298@N00,F256,1,1169216058,1169216058,18,pontidifirenze,1150,8.6,0.0,100.0,6.1
10155298@N00,F235,1,1169217628,1169217628,18,museidiscultura,357,8.4,0.0,100.0,6.1
10155298@N00,F160,1,1169217761,1169217761,18,sculturemarmoree,392,8.4,0.0,100.0,6.1
10155298@N00,F158,2,1169217827,1169217853,18,sculturebronzee,352,8.4,0.0,100.0,6.1
10155298@N00,F152,1,1169217952,1169217952,18,palazzovecchio,543,8.4,0.0,100.0,6.1
10155298@N00,F173,1,1169218210,1169218210,18,architetturerinascimentalidellatoscana,58,8.4,0.0,100.0,6.1
10155298@N00,F305,1,1169219142,1169219142,18,piazzedifirenze,102,8.0,0.0,100.0,3.3
10155298@N00,FIPOIHPC1000000296,1,1169222100,1169222100,18,castellidifirenze,60,8.2,0.0,100.0,3.3
10155298@N00,F484,2,1169222297,1169222313,18,residenzedeicapponi,26,8.4,0.0,100.0,3.3
10155298@N00,F483,2,1169222422,1169222539,18,edificidicultoluteranod'italia,26,8.0,0.0,100.0,4.4
10155298@N00,F469,1,1169222661,1169222661,18,palazzidifirenze,5,7.9,0.0,100.0,4.4
10155298@N00,F468,1,1169222675,1169222675,18,palazzidifirenze,52,8.0,0.0,100.0,4.4
10155298@N00,F466,1,1169222728,1169222728,18,palazzidifirenze,9,7.9,0.0,100.0,4.4
10155298@N00,F479,2,1169222938,1169223650,18,palazzidifirenze,14,8.1,0.0,100.0,4.4
10155298@N00,F699,1,1169300246,1169300246,19,caffèstoricidifirenze,106,11.0,0.0,100.0,5.4
10155298@N00,F119,1,1169302598,1169302598,19,cattedralidedicateamaria,571,11.2,0.1,100.0,6.8
10155298@N00,F120,2,1169303398,1169304221,19,sculturedinannidibanco,699,11.2,0.1,100.0,6.8
10155298@N00,F586,3,1169310079,1169310150,19,mercatidifirenze,128,11.2,0.0,100.0,6.0
10155298@N00,F235,1,1169323016,1169323016,19,museidiscultura,357,10.7,0.0,100.0,5.4
10155298@N00,F256,1,1169325440,1169325440,19,pontidifirenze,1150,10.8,0.0,100.0,5.0
10155298@N00,F107,2,1169396984,1169397028,20,sculturedilorenzoghiberti,969,9.0,0.0,100.0,6.1
10155298@N00,F152,1,1169397567,1169397567,20,palazzovecchio,543,8.9,0.0,100.0,6.1
10155298@N00,F457,1,1169406249,1169406249,20,villemedicee,27,10.3,0.0,99.0,6.5
10158670@N00,F159,1,1310419366,1310419366,21,operedigiambologna,304,22.4,0.0,0.0,2.0
10158670@N00,F674,1,1310419415,1310419415,21,piazzedifirenze,147,22.4,0.0,0.0,2.0
10161636@N07,F256,2,1175897725,1175897896,22,pontidifirenze,1150,7.3,0.0,0.0,3.9
10161636@N07,F167,3,1175898265,1175898577,22,sculturedipiazzadellasignoria,613,7.2,0.0,0.0,3.9
10161636@N07,F121,3,1175899288,1175899452,22,cupole,471,7.2,0.0,0.0,3.9
10164907@N06,F268,1,1198857824,1198857824,23,torridifirenze,120,-1.8,0.0,0.0,5.8
10164907@N06,F313,3,1198861609,1198865524,23,palazzopitti,112,-1.9,0.0,0.0,6.2
10164907@N06,F481,1,1199218148,1199218148,24,piazzedifirenze,30,-1.5,0.0,47.0,6.2
10164907@N06,F808,1,1199218200,1199218200,24,pontidifirenze,228,-1.5,0.0,47.0,6.2
10164907@N06,F256,2,1199219233,1199219247,24,pontidifirenze,1150,-1.5,0.0,47.0,6.2
10186330@N04,F701,1,1190547219,1190547219,25,piazzedifirenze,399,21.1,0.0,100.0,6.0
10186330@N04,F120,1,1190550631,1190550631,25,sculturedinannidibanco,699,20.2,0.0,99.0,5.9
10225506@N06,F107,1,1196709250,1196709250,26,sculturedilorenzoghiberti,969,1.3,0.0,78.0,2.7
10225506@N06,F159,1,1196712792,1196712792,26,operedigiambologna,304,1.6,0.0,92.0,1.8
10226264@N04,F301,1,1320070581,1320070581,27,residenzedeimedici,7,9.0,0.0,94.0,5.9
10226264@N04,F399,1,1320071651,1320071651,27,monumentinazionaliitaliani,15,9.1,0.0,94.0,5.9
10226264@N04,F257,1,1320075009,1320075009,27,torridifirenze,151,9.6,0.0,95.0,5.1
10226264@N04,F431,1,1320081655,1320081655,27,piazzedifirenze,481,9.0,0.0,83.0,6.4
10226264@N04,F107,1,1320171945,1320171945,28,sculturedilorenzoghiberti,969,9.3,0.0,66.0,5.9
10226264@N04,F676,1,1320172334,1320172334,28,piazzedifirenze,107,9.3,0.0,66.0,5.9
10233859@N00,F121,1,1179758716,1179758716,29,cupole,471,20.8,0.0,2.0,4.3
10233859@N00,F168,1,1179762926,1179762926,29,monumentiequestri,394,20.1,0.0,3.0,3.5
10248326@N08,F249,2,1255782021,1255782045,30,torridifirenze,567,10.2,0.0,94.0,7.4
10248326@N08,F151,6,1255786365,1255797394,30,piazzedifirenze,780,9.9,0.0,94.0,8.3
10248326@N08,F880,4,1255809878,1255814620,30,torridifirenze,385,8.6,0.0,60.0,8.1
10248326@N08,F136,3,1255877923,1255877938,31,chiesededicateasancristoforo,91,9.2,0.0,52.0,10.2
10248326@N08,F107,5,1255878098,1255878198,31,sculturedilorenzoghiberti,969,8.9,0.0,64.0,10.8
10248326@N08,F106,1,1255878400,1255878400,31,architettureromanichedifirenze,535,8.9,0.0,64.0,10.8
10248326@N08,F129,1,1255883096,1255883096,31,museidiarteapplicata,79,8.6,0.0,64.0,11.1
10248326@N08,F126,1,1255883418,1255883418,31,museidiscultura,125,8.6,0.0,64.0,11.1
10248326@N08,F107,2,1255889057,1255889065,31,sculturedilorenzoghiberti,969,8.4,0.0,8.0,12.1
10248326@N08,F119,3,1255889456,1255890057,31,cattedralidedicateamaria,571,8.4,0.0,8.0,12.1
10248326@N08,F110,27,1255890578,1255891812,31,cattedraledisantamariadelfiore,753,8.4,0.0,8.0,12.1
10250618@N06,F256,1,1207399509,1207399509,32,pontidifirenze,1150,9.4,0.0,0.0,6.0
10250618@N06,F236,1,1207399738,1207399738,32,uffizi,515,9.4,0.0,0.0,6.0
10281460@N06,F674,1,1239454448,1239454448,33,piazzedifirenze,147,13.4,0.0,70.0,5.8
10281460@N06,F431,1,1239454801,1239454801,33,piazzedifirenze,481,11.9,0.0,50.0,6.2
10281460@N06,F674,4,1239454803,1239454939,33,piazzedifirenze,147,12.2,0.0,50.0,6.2
10281460@N06,F108,1,1239458341,1239458341,33,museidifirenze,408,12.2,0.0,50.0,6.2
10281460@N06,FIPOIHPC1000000911,1,1239459319,1239459319,33,chiesededicateasantacecilia,48,11.0,0.0,97.0,5.9
10281460@N06,F236,1,1239460143,1239460143,33,uffizi,515,11.1,0.0,97.0,5.9
10281460@N06,F151,2,1239460680,1239460983,33,piazzedifirenze,780,11.0,0.0,97.0,5.9
10281460@N06,F204,1,1239466678,1239466678,33,stradedifirenze,27,8.9,0.0,72.0,5.9
10281460@N06,F245,1,1239470142,1239470142,33,palazzidifirenze,32,8.2,0.0,76.0,6.1
10294034@N07,FIPOIHPC1000000027,1,1185886113,1185886113,34,loggedifirenze,118,21.2,0.0,0.0,8.4
10294034@N07,F101,1,1185889566,1185889566,34,piazzedifirenze,284,20.0,0.0,0.0,6.9
10294034@N07,F127,1,1185892101,1185892101,34,palazzidifirenze,228,18.7,0.0,0.0,6.3
10294034@N07,F121,3,1185892545,1185893153,34,cupole,471,18.7,0.0,0.0,6.3
10294034@N07,F712,1,1185896987,1185896987,34,bibliotecanazionalecentraledifirenze,69,17.4,0.0,0.0,6.8
10294034@N07,F867,1,1185897743,1185897743,34,torridifirenze,47,16.2,0.0,0.0,6.8
10294034@N07,F470,1,1185898132,1185898132,34,pontisull'arno,17,16.3,0.0,0.0,6.8
10294034@N07,FIPOIHPC1000000962,2,1185898625,1185898639,34,teatridifirenze,5,16.2,0.0,0.0,6.8
10294034@N07,F471,2,1185898982,1185899025,34,architetturemilitaridifirenze,81,16.3,0.0,0.0,6.8
10294034@N07,F256,2,1185906252,1185906295,34,pontidifirenze,1150,14.9,0.0,0.0,6.4
10294034@N07,F249,2,1185906438,1185906489,34,torridifirenze,567,14.8,0.0,0.0,6.4
10294034@N07,FIPOIHPC1000000871,1,1185906829,1185906829,34,architetturescomparsedifirenze,52,14.7,0.0,0.0,6.4
10294034@N07,F161,1,1185907051,1185907051,34,scultureneoclassiche,92,14.8,0.0,0.0,6.4
10298279@N03,FIPOIHPC1000000583,1,1303065231,1303065231,35,palazzidifirenze,6,3.7,0.0,0.0,7.4
10298279@N03,F168,1,1303068856,1303068856,35,monumentiequestri,394,3.4,0.0,0.0,6.7
10298279@N03,F158,1,1303069038,1303069038,35,sculturebronzee,352,3.4,0.0,0.0,6.7
10303539@N00,F590,5,1285203342,1285203443,36,palazzidifirenze,9,18.6,0.0,9.0,4.1
10303539@N00,FIPOIHPC1000000557,3,1285207040,1285207119,36,palazzidifirenze,17,20.9,0.0,0.0,4.2
10303539@N00,F595,2,1285207284,1285207357,36,palazzidifirenze,6,22.5,0.0,0.0,4.7
10303539@N00,F590,1,1285207799,1285207799,36,palazzidifirenze,9,22.5,0.0,0.0,4.7
10303539@N00,F101,6,1285270700,1285270926,37,piazzedifirenze,284,13.7,0.0,39.0,5.9
10303539@N00,F583,1,1285274978,1285274978,37,osservatoriastronomicid'italia,23,13.7,0.0,42.0,5.9
10303539@N00,F566,2,1285275334,1285275379,37,piazzedifirenze,163,13.7,0.0,42.0,5.9
10303539@N00,F585,1,1285286312,1285286312,37,piazzedifirenze,67,15.4,0.0,100.0,5.6
10303539@N00,F885,2,1285329419,1285330086,38,torridifirenze,21,17.2,0.5,99.0,3.6
10303539@N00,F142,6,1285333710,1285334025,38,sculturenelbargello,8,15.7,0.3,99.0,3.9
10303539@N00,FIPOIHPC1000000935,2,1285334469,1285334499,38,sculturedidonatello,9,15.7,0.3,99.0,3.9
10303539@N00,FIPOIHPC1000000997,1,1285336597,1285336597,38,dipintidilorenzomonaco,13,15.7,0.3,99.0,3.9
10303539@N00,F881,2,1285338166,1285338528,38,piazzedifirenze,13,15.3,0.7,95.0,2.9
10303539@N00,F256,3,1285338950,1285338974,38,pontidifirenze,1150,15.5,0.7,95.0,2.9
10303539@N00,F159,8,1285339782,1285341358,38,operedigiambologna,304,15.3,0.7,95.0,2.9
10303539@N00,F883,1,1285341670,1285341670,38,torridifirenze,32,15.0,0.7,67.0,2.5
10303539@N00,F121,7,1285342120,1285344516,38,cupole,471,15.0,0.7,67.0,2.5
10303539@N00,F235,3,1285348886,1285348992,38,museidiscultura,357,15.1,0.7,93.0,2.2
10303539@N00,F236,5,1285349263,1285349449,38,uffizi,515,15.3,0.7,93.0,2.2
10303539@N00,FIPOIHPC1000001009,6,1285349834,1285349988,38,stradedifirenze,81,15.2,0.7,93.0,2.2
10303539@N00,F326,4,1285350165,1285350285,38,pontidifirenze,415,15.3,0.7,93.0,2.2
10303539@N00,F317,1,1285352821,1285352821,38,fontanedifirenze,95,15.2,2.1,99.0,1.5
10303539@N00,F313,8,1285353531,1285354526,38,palazzopitti,112,15.3,2.1,99.0,1.5
10303539@N00,F318,1,1285355488,1285355488,38,boboli,35,15.4,1.9,100.0,2.2
10303539@N00,F324,3,1285355815,1285356158,38,boboli,71,15.2,1.9,100.0,2.2
10303539@N00,F321,7,1285357388,1285357740,38,boboli,36,15.5,1.9,100.0,2.2
10303539@N00,F307,1,1285359987,1285359987,38,palazzopitti,60,15.5,0.5,100.0,4.0
10303539@N00,F261,1,1285360314,1285360314,38,torridifirenze,39,15.5,0.5,100.0,4.0
10303539@N00,F698,2,1285376465,1285376584,38,caffèstoricidifirenze,204,17.9,0.0,37.0,4.8
10303539@N00,F677,2,1285376930,1285376974,38,architettureromanichedifirenze,50,17.9,0.0,37.0,4.8
10305258@N02,F159,1,1187459699,1187459699,39,operedigiambologna,304,19.0,0.0,5.0,6.4
10305258@N02,F176,3,1187460062,1187460391,39,esercizistoricidifirenze,150,18.6,0.0,8.0,6.4
10305258@N02,F110,1,1187464144,1187464144,39,cattedraledisantamariadelfiore,753,18.3,0.0,24.0,5.4
10305258@N02,F107,1,1187464435,1187464435,39,sculturedilorenzoghiberti,969,18.3,0.0,24.0,5.4
10305258@N02,F677,1,1187539826,1187539826,40,architettureromanichedifirenze,50,17.2,0.2,76.0,7.4
10305258@N02,F249,1,1187548357,1187548357,40,torridifirenze,567,16.6,0.7,100.0,3.7
10305258@N02,F151,1,1187550529,1187550529,40,piazzedifirenze,780,16.3,0.5,100.0,3.7
10305258@N02,F324,1,1187561373,1187561373,40,boboli,71,17.2,0.2,98.0,2.9
10310250@N02,F119,9,1187976495,1187985509,41,cattedralidedicateamaria,571,16.9,0.0,47.0,6.9
10310250@N02,F147,1,1187985631,1187985631,41,chiesededicateasanbartolomeoapostolo,36,16.4,0.0,68.0,6.6
10310250@N02,F237,6,1187986020,1187996414,41,uffizi,40,16.4,0.0,68.0,6.6
10310250@N02,F292,5,1187997824,1187998920,41,palazzidifirenze,11,20.3,0.0,100.0,4.6
10320013@N06,F566,1,1339525587,1339525587,42,piazzedifirenze,163,15.1,0.0,61.0,7.4
10320013@N06,F107,1,1339526741,1339526741,42,sculturedilorenzoghiberti,969,15.1,0.0,61.0,7.4
10321650@N04,F120,1,1229887932,1229887932,43,sculturedinannidibanco,699,1.0,0.0,58.0,4.7
10321650@N04,F585,1,1229890094,1229890094,43,piazzedifirenze,67,0.8,0.0,67.0,5.8
10321650@N04,F120,1,1229894440,1229894440,43,sculturedinannidibanco,699,0.7,0.0,67.0,5.9
10342013@N03,F517,1,1230906722,1230906722,44,chiesedomenicane,32,1.5,0.0,96.0,7.9
10342013@N03,F151,3,1230912900,1230913273,44,piazzedifirenze,780,2.8,0.0,97.0,9.9
10342013@N03,F161,1,1230918740,1230918740,44,scultureneoclassiche,92,2.9,0.0,99.0,10.8
10355181@N07,F674,1,1288427692,1288427692,45,piazzedifirenze,147,13.7,0.0,97.0,5.5
10355181@N07,F616,1,1288431124,1288431124,45,palazzidifirenze,5,12.3,0.0,99.0,6.4
10370437@N06,F119,1,1249224539,1249224539,46,cattedralidedicateamaria,571,23.5,0.0,97.0,0.8
10370437@N06,F110,1,1249226977,1249226977,46,cattedraledisantamariadelfiore,753,23.0,0.0,97.0,2.5
10370437@N06,F256,1,1249229740,1249229740,46,pontidifirenze,1150,22.3,0.0,90.0,3.2
10386091@N00,F509,1,1180569004,1180569004,47,firenze,47,15.1,0.0,62.0,2.5
10386091@N00,F343,1,1180570051,1180570051,47,palazzidifirenze,23,16.9,0.0,30.0,2.5
10386091@N00,F108,1,1180570462,1180570462,47,museidifirenze,408,17.0,0.0,30.0,2.5
10458880@N04,F108,1,1192437137,1192437137,48,museidifirenze,408,18.3,0.0,0.0,6.4
10458880@N04,F128,1,1192437205,1192437205,48,esercizistoricidifirenze,216,18.2,0.0,0.0,6.4
10458880@N04,F135,1,1192453998,1192453998,48,torridifirenze,64,8.9,0.0,0.0,4.9
10468135@N08,F867,1,1335786488,1335786488,49,torridifirenze,47,18.0,0.0,42.0,2.1
10468135@N08,F712,2,1335786978,1335787005,49,bibliotecanazionalecentraledifirenze,69,18.0,0.0,42.0,2.1
10468135@N08,F724,2,1335787508,1335787560,49,palazzidifirenze,33,17.3,0.0,35.0,1.8
10468135@N08,F808,1,1335787646,1335787646,49,pontidifirenze,228,17.4,0.0,35.0,1.8
10468135@N08,F720,2,1335787932,1335787986,49,casemuseo,14,17.3,0.0,35.0,1.8
10468135@N08,F722,1,1335788251,1335788251,49,chiesedifirenze,18,17.3,0.0,35.0,1.8
10468135@N08,F718,1,1335789314,1335789314,49,palazzidifirenze,26,17.3,0.0,35.0,1.8
10468135@N08,FIPOIHPC1000001020,1,1335789576,1335789576,49,torridifirenze,33,17.3,0.0,35.0,1.8
10468135@N08,F152,2,1335789759,1335789782,49,palazzovecchio,543,17.3,0.0,35.0,1.8
10468135@N08,F151,1,1335789899,1335789899,49,piazzedifirenze,780,17.3,0.0,35.0,1.8
10468135@N08,F167,3,1335789947,1335790473,49,sculturedipiazzadellasignoria,613,17.3,0.0,35.0,1.8
10468135@N08,F176,1,1335792478,1335792478,49,esercizistoricidifirenze,150,16.8,0.0,39.0,2.6
10468135@N08,F140,1,1335792635,1335792635,49,sculturedilorenzoghiberti,33,16.8,0.0,39.0,2.6
10468135@N08,FIPOIHPC1000000422,1,1335792726,1335792726,49,torridifirenze,20,16.8,0.0,39.0,2.6
10468135@N08,F136,1,1335792896,1335792896,49,chiesededicateasancristoforo,91,16.8,0.0,39.0,2.6
10468135@N08,F107,1,1335792990,1335792990,49,sculturedilorenzoghiberti,969,16.8,0.0,39.0,2.6
10468135@N08,F121,1,1335796534,1335796534,49,cupole,471,16.3,0.0,31.0,3.1
10468135@N08,F126,6,1335796591,1335797110,49,museidiscultura,125,16.3,0.0,31.0,3.1
10468135@N08,F870,1,1335797583,1335797583,49,archidifirenze,7,16.3,0.0,31.0,3.1
10468135@N08,FIPOIHPC1000000784,1,1335797721,1335797721,49,palazzidifirenze,8,16.3,0.0,31.0,3.1
10468135@N08,F870,1,1335797807,1335797807,49,archidifirenze,7,16.3,0.0,31.0,3.1
10468135@N08,FIPOIHPC1000000833,1,1335797983,1335797983,49,architetturefascistedifirenze,8,16.3,0.0,31.0,3.1
10468135@N08,F228,1,1335798085,1335798085,49,chiesedifirenze,6,15.1,0.0,34.0,3.3
10468135@N08,F224,1,1335798197,1335798197,49,teatrid'opera,10,15.1,0.0,34.0,3.3
10468135@N08,F701,3,1335798363,1335798438,49,piazzedifirenze,399,15.1,0.0,34.0,3.3
10468135@N08,F709,1,1335798513,1335798513,49,architetturerinascimentalidellatoscana,93,15.1,0.0,34.0,3.3
