poiID,theme,lat,long,Og_POI_Mark,City,PoIName_Italian,PoIName_English,PoILocation_Alias
32,palazzidifirenze,43.7693055556,11.2577666667,F213,Firenze,Palazzo Columbia-Parlamento,Palace Columbia-Parlamento,
33,scultureasoggettomitologico,43.7691583333,11.255825,F166,Firenze,Ercole e Caco,Ercole and Caco,Hercules and Cacus
34,sculturenellaloggiadeilanzi,43.7692888889,11.2555305556,F159,Firenze,Ratto delle Sabine (Giambologna),Ratto of the Sabine (Giambologna),The Rape of the Sabine Women
35,uffizi,43.7684388889,11.2559,F235,Firenze,Galleria degli Uffizi,Gallery of the Uffizi,Uffizi
36,torridifirenze,43.7686277778,11.2533777778,F880,Firenze,Torre dei Consorti,Tower of the Consorti,
37,ciclidiaffreschidifirenze,43.7689277778,11.2570861111,FIPOIHPC1000000648,Firenze,Sala di Clemente VII,Hall of Clemente VII,
38,pontidifirenze,43.7690166667,11.2503111111,F326,Firenze,Ponte Santa Trinita,Bridge Saint Trinita,Ponte Santa Trinita
39,palazzidifirenze,43.7692666667,11.2530222222,FIPOIHPC1000000841,Firenze,Casa Acciaiuoli,House Acciaiuoli,
40,torridifirenze,43.7717888889,11.2560694444,F868,Firenze,Torre della Pagliazza,Tower of the Pagliazza,
41,tabernacolidifirenze,43.7707916667,11.2546777778,F202,Firenze,Tabernacolo di Santa Maria della Tromba,Tabernacolo of Saint Maria of the Tromba,
42,piazzedifirenze,43.7724138889,11.2564222222,F674,Firenze,Piazza del Capitolo,Square of the Capitolo,
43,piazzedifirenze,43.76885,11.2614805556,F701,Firenze,Piazza Santa Croce,Square Saint Croce,Piazza Santa Croce
44,torridifirenze,43.7679083333,11.2515361111,F271,Firenze,Torri dei Barbadori,Torri of the Barbadori,
45,fontanedifirenze,43.76555,11.2504777778,F315,Firenze,Fonte del Leone,Fonte of the Leone,
46,museidifirenze,43.7735333333,11.2564027778,F129,Firenze,Museo Torrini,Museum Torrini,
47,galleriadell'accademia,43.7767,11.2591,F663,Firenze,Galleria dell'Accademia,Gallery of the Accademia,
48,stradedifirenze,43.7690472222,11.2485277778,F304,Firenze,Lungarno Guicciardini,Lungarno Guicciardini,
49,sculturenellaloggiadeilanzi,43.7692388889,11.2554972222,F160,Firenze,Ercole e il Centauro Nesso,Ercole and IL Centauro Nesso,
50,palazzidifirenze,43.7699888889,11.2564888889,F173,Firenze,Palazzo Uguccioni,Palace Uguccioni,
51,piazzedifirenze,43.7655416667,11.2496416667,F305,Firenze,Piazza de' Pitti,Square De' Pitti,
52,architetturescomparsedifirenze,43.7676638889,11.2559833333,FIPOIHPC1000000296,Firenze,Castello d'Altafronte,Castello of Altafronte,
53,palazzidifirenze,43.766075,11.2561944444,F484,Firenze,Palazzo Capponi alle Rovinate,Palace Capponi at the Rovinate,
54,chiesedifirenze,43.7655472222,11.2571027778,F483,Firenze,Chiesa Evangelica Luterana (Firenze),Church Evangelica Luterana (Florence),
55,palazzidifirenze,43.7649694444,11.2579916667,F469,Firenze,Palazzo Nasi,Palace Nasi,
56,palazzidifirenze,43.7653194444,11.2581277778,F468,Firenze,Palazzo Torrigiani Del Nero,Palace Torrigiani of the Nero,
57,palazzidifirenze,43.7646694444,11.2579916667,F466,Firenze,Palazzo dei Mozzi,Palace of the Mozzi,Palazzo Mozzi
58,palazzidifirenze,43.7650555556,11.2610388889,F479,Firenze,Palazzo Serristori,Palace Serristori,
59,caffèstoricidifirenze,43.7718527778,11.2543083333,F699,Firenze,Caffè Gilli,Caffè Gilli,
60,architetturedifirenze,43.7766305556,11.2533027778,F586,Firenze,Mercato Centrale (Firenze),Market Centrale (Florence),Mercato Centrale (Florence)
61,architetturemilitaridifirenze,43.7629666667,11.2538666667,F457,Firenze,Forte Belvedere,Forte Belvedere,Belvedere (fort)
62,fontanedifirenze,43.7695555556,11.2559305556,F167,Firenze,Fontana del Nettuno (Firenze),Fountain of the Nettuno (Florence),Fountain of Neptune
63,piazzedifirenze,43.7651472222,11.2601777778,F481,Firenze,Piazza Demidoff,Square Demidoff,
64,pontidifirenze,43.76628,11.25827,F808,Firenze,Ponte alle Grazie,Bridge at the Grazie,Ponte alle Grazie
65,palazzidifirenze,43.7688361111,11.2474666667,F301,Firenze,Palazzetto Medici,Palazzetto Medici,
66,basilicadisantamariadelcarmine(firenze),43.7680027778,11.2439027778,F399,Firenze,Basilica di Santa Maria del Carmine (Firenze),Basilica of Saint Maria of the Carmine (Florence),"Santa Maria del Carmine, Florence"
67,torridifirenze,43.7675361111,11.2529583333,F257,Firenze,Torre dei Mannelli,Tower of the Mannelli,Torre dei Mannelli
68,piazzedifirenze,43.7629166667,11.2651555556,F431,Firenze,Piazzale Michelangelo,Square Michelangelo,Piazzale Michelangelo
69,chiesedifirenze,43.7725166667,11.2553472222,F136,Firenze,Chiesa di San Cristoforo degli Adimari,Church of Saint Cristoforo of the Adimari,
70,loggedifirenze,43.7727472222,11.2552555556,F108,Firenze,Loggia del Bigallo,Loggia of the Bigallo,Loggia del Bigallo
71,chiesescomparsedifirenze,43.7696694444,11.2548138889,FIPOIHPC1000000911,Firenze,Chiesa di Santa Cecilia (Firenze),Church of Saint Cecilia (Florence),
72,stradedifirenze,43.7711138889,11.2580694444,F204,Firenze,Via del Proconsolo,Street of the Proconsolo,
73,palazzidifirenze,43.7673888889,11.2569805556,F245,Firenze,Palazzo della Borsa (Firenze),Palace of the Borsa (Florence),
74,loggedifirenze,43.7699916667,11.2542944444,FIPOIHPC1000000027,Firenze,Loggia del Mercato Nuovo,Loggia of the Market Nuovo,Loggia del Mercato Nuovo
75,bibliotecanazionalecentraledifirenze,43.7670444444,11.2624444444,F712,Firenze,Biblioteca Nazionale Centrale di Firenze,Library Nazionale Centrale of Florence,National Central Library (Florence)
76,architetturemilitaridifirenze,43.7664138889,11.2685277778,F867,Firenze,Torre della Zecca,Tower of the Zecca,
77,pontidifirenze,43.7647611111,11.2711277778,F470,Firenze,Ponte di San Niccolò,Bridge of Saint Niccolò,
78,teatridifirenze,43.7635611111,11.269725,FIPOIHPC1000000962,Firenze,Teatro Diurno,Theatre Diurno,
79,architetturemilitaridifirenze,43.764475,11.2649305556,F471,Firenze,Porta San Niccolò,Gate Saint Niccolò,
80,teatridifirenze,43.768625,11.256075,FIPOIHPC1000000871,Firenze,Teatro Mediceo,Theatre Mediceo,
81,sculturenellaloggiadeilanzi,43.7691666667,11.2557666667,F161,Firenze,Ratto di Polissena,Ratto of Polissena,
82,palazzidifirenze,43.7735527778,11.2670333333,FIPOIHPC1000000583,Firenze,Palazzo Wilson Gattai,Palace Wilson Gattai,
83,palazzidifirenze,43.7767694444,11.2550111111,F590,Firenze,Palazzetto dei Serragli,Palazzetto of the Serragli,
84,palazzidifirenze,43.7752722222,11.2504944444,FIPOIHPC1000000557,Firenze,Palazzo dei Cerretani,Palace of the Cerretani,
85,palazzidifirenze,43.775475,11.2515416667,F595,Firenze,Palazzo dei Cartelloni,Palace of the Cartelloni,Palazzo dei Cartelloni
86,firenze,43.7744638889,11.2552416667,F583,Firenze,Osservatorio Ximeniano,Observatory Ximeniano,
87,piazzedifirenze,43.7747722222,11.2548583333,F566,Firenze,Piazza San Lorenzo,Square Saint Lorenzo,
88,piazzedifirenze,43.7765361111,11.254075,F585,Firenze,Piazza del Mercato Centrale,Square of the Market Centrale,
89,torridifirenze,43.7703277778,11.2525972222,F885,Firenze,Torre dei Foresi,Tower of the Foresi,
90,sculturediorsanmichele,43.770825,11.2548861111,F142,Firenze,San Giorgio (Donatello),Saint Giorgio (Donatello),
91,sculturediorsanmichele,43.7705833333,11.2548166667,FIPOIHPC1000000935,Firenze,San Marco (Donatello),Saint Marco (Donatello),Saint Mark (Donatello)
92,cappelledifirenze,43.7701666667,11.2507972222,FIPOIHPC1000000997,Firenze,Cappella Bartolini Salimbeni,Chapel Bartolini Salimbeni,
93,piazzedifirenze,43.7692527778,11.2519166667,F881,Firenze,Piazza del Limbo,Square of the Limbo,
94,torridifirenze,43.7709194444,11.2560555556,F883,Firenze,Torre dei Della Bella,Tower of the of the Bella,Torre dei Della Bella
95,stradedifirenze,43.76905,11.2519277778,FIPOIHPC1000001009,Firenze,Lungarno degli Acciaiuoli,Lungarno of the Acciaiuoli,
96,fontanedifirenze,43.7646611111,11.2504972222,F317,Firenze,Fontana del Carciofo,Fountain of the Carciofo,
97,museidifirenze,43.762,11.2525055556,F313,Firenze,Museo delle porcellane,Museum of the Porcelain,
98,boboli,43.7623611111,11.2482972222,F318,Firenze,Giardino di Boboli,Garden of Boboli,Boboli Gardens
99,fontanedifirenze,43.7614611111,11.2455472222,F324,Firenze,Fontana dell'Oceano,Fountain of the Oceano,
100,fontanedifirenze,43.7662,11.2518972222,F321,Firenze,Grotta del Buontalenti,Grotto of the Buontalenti,
101,palazzopitti,43.7652638889,11.2500944444,F307,Firenze,Palazzo Pitti,Palace Pitti,Palazzo Pitti
102,torridifirenze,43.7671888889,11.2522277778,F261,Firenze,Torre dei Nerli,Tower of the Nerli,
103,caffèstoricidifirenze,43.7718055556,11.253875,F698,Firenze,Paszkowski,Paszkowski,
104,chiesedifirenze,43.77295,11.2541138889,F677,Firenze,Chiesa di San Salvatore al Vescovo,Church of Saint Salvatore at the Vescovo,San Salvatore al Vescovo
105,chiesescomparsedifirenze,43.7710194444,11.2552972222,F147,Firenze,Chiesa di San Bartolomeo (Firenze),Church of Saint Bartolomeo (Florence),
106,chiesescomparsedifirenze,43.7689222222,11.2564388889,F237,Firenze,Chiesa di San Pier Scheraggio,Church of Saint Pier Scheraggio,
107,palazzidifirenze,43.7683361111,11.2491583333,F292,Firenze,Palazzo Segni,Palace Segni,
108,basilicadisantamarianovella,43.7746166667,11.2494083333,F517,Firenze,Basilica di Santa Maria Novella,Basilica of Saint Maria Novella,Basilica of Santa Maria Novella
109,firenze,43.7712111111,11.2444805556,F509,Firenze,Pescaia di Santa Rosa,Pescaia of Saint Rosa,
110,palazzidifirenze,43.7714777778,11.2510583333,F343,Firenze,Palazzo Dudley,Palace Dudley,
111,torridifirenze,43.7723444444,11.2553666667,F135,Firenze,Torri degli Adimari,Torri of the Adimari,
112,palazzidifirenze,43.7669666667,11.2592805556,F724,Firenze,Palazzo Bardi-Tempi,Palace Bardi-Tempi,
113,museidifirenze,43.7675138889,11.2596138889,F720,Firenze,Museo Horne,Museum Horne,
114,chiesedifirenze,43.7680805556,11.25955,F722,Firenze,Chiesa Evangelica Metodista (Firenze),Church Evangelica Metodista (Florence),
115,palazzidifirenze,43.7686861111,11.2605833333,F718,Firenze,Palazzo Mellini-Fossi,Palace Mellini-Fossi,
116,architetturescomparsedifirenze,43.7693916667,11.2572777778,FIPOIHPC1000001020,Firenze,Torre del Guardingo,Tower of the Guardingo,
117,sculturediorsanmichele,43.7706361111,11.2552472222,F140,Firenze,San Giovanni Battista (Ghiberti),Saint Giovanni Battista (Ghiberti),St. John the Baptist (Ghiberti)
118,torridifirenze,43.7711305556,11.2551416667,FIPOIHPC1000000422,Firenze,Torre dei Macci,Tower of the Macci,
119,archidifirenze,43.7715916667,11.2618166667,F870,Firenze,Arco di San Pierino,Arch of Saint Pierino,
120,palazzidifirenze,43.7717777778,11.2617694444,FIPOIHPC1000000784,Firenze,Palazzo Bartolommei (via dell'Oriuolo),Palace Bartolommei (Street of the Oriuolo),
121,palazzidifirenze,43.7708611111,11.2623861111,FIPOIHPC1000000833,Firenze,Casa del Fascio (Firenze),House of the Fascio (Florence),
122,chiesedifirenze,43.7707194444,11.2616805556,F228,Firenze,Oratorio di San Niccolò del Ceppo,Oratory of Saint Niccolò of the Ceppo,
123,teatridifirenze,43.76995,11.2610222222,F224,Firenze,Teatro Verdi (Firenze),Theatre Verdi (Florence),
124,palazzidifirenze,43.7687083333,11.2611527778,F709,Firenze,Palazzo dell'Antella,Palace of the Antella,
125,stradedifirenze,43.7667611111,11.2604638889,F726,Firenze,Lungarno delle Grazie,Lungarno of the Grazie,
126,palazzidifirenze,43.7667861111,11.2618444444,F715,Firenze,Palazzo Jennings Riccioli,Palace Jennings Riccioli,
127,dipintididomenicoghirlandaio,43.7751277778,11.249425,F522,Firenze,Cappella Tornabuoni,Chapel Tornabuoni,Tornabuoni Chapel
128,stradedifirenze,43.7712472222,11.2499666667,FIPOIHPC1000000693,Firenze,Via della Vigna Nuova,Street of the Vigna Nuova,
129,stradedifirenze,43.7718666667,11.2501805556,FIPOIHPC1000000885,Firenze,Via della Spada,Street of the Spada,
130,piazzedifirenze,43.7735055556,11.2494222222,F515,Firenze,Piazza Santa Maria Novella,Square Saint Maria Novella,
131,palazzidifirenze,43.7737583333,11.248225,F535,Firenze,Palazzo Dal Borgo,Palace Dal Borgo,
132,architetturerinascimentalidellatoscana,43.7712722222,11.2518416667,F693,Firenze,Palazzo Strozzi,Palace Strozzi,Palazzo Strozzi
133,torridifirenze,43.77235,11.2568805556,F904,Firenze,Torre dei Pierozzi,Tower of the Pierozzi,
134,stradedifirenze,43.7723777778,11.25445,F678,Firenze,Via Roma (Firenze),Street Roma (Florence),
135,torridifirenze,43.7678888889,11.2508944444,F276,Firenze,Torre dei Marsili,Tower of the Marsili,
136,palazzidifirenze,43.7696527778,11.2464722222,F291,Firenze,Palazzo Capponi-Vettori,Palace Capponi-Vettori,
137,palazzidifirenze,43.7677138889,11.249425,F349,Firenze,Palazzo Agostini (Firenze),Palace Agostini (Florence),
138,palazzidifirenze,43.7664888889,11.2486638889,F357,Firenze,Palazzo Biliotti,Palace Biliotti,
139,chiesedifirenze,43.7669194444,11.2462194444,F287,Firenze,Chiesa di San Carlo dei Barnabiti,Church of Saint Carlo of the Barnabiti,
140,pontidifirenze,43.7702416667,11.2472472222,F363,Firenze,Ponte alla Carraia,Bridge at the Carraia,Ponte alla Carraia
141,palazzidifirenze,43.7674972222,11.2590972222,F721,Firenze,Palazzo Bardi,Palace Bardi,
142,arterinascimentale,43.7751361111,11.2558833333,F608,Firenze,Cappella dei Magi,Chapel of the Magi,Magi Chapel
143,piazzedifirenze,43.7764472222,11.2607333333,F636,Firenze,Piazza della Santissima Annunziata,Square of the Santissima Annunziata,
144,fontanedifirenze,43.7763444444,11.2609416667,F643,Firenze,Fontane dei mostri marini,Fontane of the Mostri Marini,
145,palazzidifirenze,43.7745694444,11.2587194444,F657,Firenze,Palazzo di Sforza Almeni,Palace of Sforza Almeni,
146,palazzidifirenze,43.7715777778,11.2574166667,FIPOIHPC1000000424,Firenze,Palazzo Portinari-Salviati,Palace Portinari-Salviati,
147,palazzidifirenze,43.7684194444,11.2501611111,F327,Firenze,Palazzo della Missione,Palace of the Missione,
148,palazzidifirenze,43.7667611111,11.2510333333,F264,Firenze,Casa in via dello Sprone,House in Street Dello Sprone,
149,villedifirenze,43.7639638889,11.256275,F462,Firenze,Villa Bardini,Villa Bardini,
150,palazzidifirenze,43.7698527778,11.2525611111,FIPOIHPC1000000800,Firenze,Palazzo de' Nobili,Palace De' Nobili,
151,piazzedifirenze,43.770925,11.24775,F902,Firenze,Piazza Goldoni,Square Goldoni,
152,palazzidifirenze,43.7593916667,11.2649722222,FIPOIHPC1000000396,Firenze,Palazzo dei Vescovi a San Miniato al Monte,Palace of the Vescovi to Saint Miniato at the Monte,
153,palazzidifirenze,43.7704055556,11.2512305556,FIPOIHPC1000000538,Firenze,Palazzo Minerbetti,Palace Minerbetti,
154,teatridifirenze,43.7737194444,11.2527166667,FIPOIHPC1000000865,Firenze,Teatro Auditorium al Duomo,Theatre Auditorium at the Duomo,
155,palazzidifirenze,43.7738555556,11.2489916667,F516,Firenze,Grand Hotel Minerva,Grand Hotel Minerva,
156,cappelledifirenze,43.7725555556,11.2515888889,F336,Firenze,Cappella Antinori,Chapel Antinori,
157,palazzidifirenze,43.7728166667,11.2511277778,F334,Firenze,Palazzo Antinori,Palace Antinori,
158,palazzidifirenze,43.7716166667,11.2529638889,F690,Firenze,Palazzo Vecchietti,Palace Vecchietti,
159,architetturescomparsedifirenze,43.7714472222,11.2540611111,F680,Firenze,Mercato Vecchio,Market Vecchio,
160,scultureafirenze,43.7682333333,11.2627666667,FIPOIHPC1000000965,Firenze,Annunciazione Cavalcanti,Annunciation Cavalcanti,
161,architetturerinascimentalidellatoscana,43.7680055556,11.2629888889,F705,Firenze,Cappella Pazzi,Chapel Pazzi,Pazzi Chapel
162,cappelledifirenze,43.7680555556,11.2632722222,F704,Firenze,Cappella Baroncelli,Chapel Baroncelli,
163,palazzidifirenze,43.7695388889,11.2520222222,FIPOIHPC1000000569,Firenze,Palazzo degli Altoviti,Palace of the Altoviti,
164,torridifirenze,43.7674833333,11.2526527778,F268,Firenze,Torre dei Rossi-Cerchi,Tower of the Rossi-Cerchi,
165,sculturebronzee,43.7732166667,11.2549111111,FIPOIHPC1000000964,Firenze,Monumento funebre dell'antipapa Giovanni XXIII,Monumento Funebre of the Antipapa Giovanni XXIII,Tomb of Antipope John XXIII
166,stradedifirenze,43.7734138889,11.2533583333,FIPOIHPC1000000702,Firenze,Via de' Cerretani,Street De' Cerretani,
167,monumentidifirenze,43.7736861111,11.2407916667,FIPOIHPC1000000450,Firenze,Monumento a Garibaldi (Firenze),Monumento to Garibaldi (Florence),
168,museidifirenze,43.7646083333,11.2490583333,F311,Firenze,Galleria del costume,Gallery of the Costume,
169,ospedalistoricidifirenze,43.7643027778,11.2466,F379,Firenze,Ospizio di San Niccolò,Ospizio of Saint Niccolò,
170,architetturedifirenze,43.7642555556,11.2525638889,F323,Firenze,Kaffeehaus del Giardino di Boboli,Kaffeehaus of the Garden of Boboli,
171,scultureasoggettofunebre,43.7682,11.2628194444,F708,Firenze,Monumento funebre di Leonardo Bruni,Monumento Funebre of Leonardo Bruni,
172,sculturediorsanmichele,43.7708277778,11.2551361111,FIPOIHPC1000000933,Firenze,San Filippo (Nanni di Banco),Saint Filippo (Nanni of Banco),
173,sculturediorsanmichele,43.7708388889,11.2549972222,F141,Firenze,Quattro Santi Coronati (Nanni di Banco),Quattro Saints Coronati (Nanni of Banco),
174,teatridifirenze,43.77369,11.25606,F667,Firenze,Teatro Niccolini (Firenze),Theatre Niccolini (Florence),
175,sculturenellaloggiadeilanzi,43.7691861111,11.2556694444,FIPOIHPC1000000604,Firenze,Patroclo e Menelao,Patroclo and Menelao,Menelaus supporting the body of Patroclus
176,sinagoghedifirenze,43.7728194444,11.266625,FIPOIHPC1000000425,Firenze,Tempio Maggiore Israelitico di Firenze,Temple Maggiore Israelitico of Florence,Great Synagogue of Florence
177,chiesedifirenze,43.7716972222,11.2663111111,F742,Firenze,Oratorio della Compagnia di San Michele della Pace,Oratory of the Compagnia of Saint Michele of the Pace,
178,accademieeistitutidiculturadellatoscana,43.7722388889,11.2666555556,FIPOIHPC1000000900,Firenze,Istituto Storico della Resistenza in Toscana,Istituto Storico of the Resistenza in Toscana,
179,cenacoliafirenze,43.7772833333,11.2514222222,F556,Firenze,Cenacolo di Fuligno,Cenacolo of Fuligno,
180,palazzidelleartidifirenze,43.77095,11.2550916667,FIPOIHPC1000000596,Firenze,Palazzo dell'Arte dei Beccai,Palace of the Arte of the Beccai,
181,cappelledifirenze,43.7691722222,11.2563166667,FIPOIHPC1000000649,Firenze,Cappella di Eleonora,Chapel of Eleonora,
182,loggedifirenze,43.7685361111,11.2570555556,F239,Firenze,Loggia del Grano,Loggia of the Grano,
183,piazzedifirenze,43.7686472222,11.2440666667,F397,Firenze,Piazza del Carmine,Square of the Carmine,
184,cappelledifirenze,43.7674805556,11.2467916667,F281,Firenze,Cappella Corsini di Santo Spirito,Chapel Corsini of Saint Spirito,
185,torridifirenze,43.7699,11.250825,F345,Firenze,Torre dei Gianfigliazzi,Tower of the Gianfigliazzi,
186,palazzidifirenze,43.7749472222,11.2616527778,F652,Firenze,Palazzo Guidi Raggio,Palace Guidi Raggio,
187,monumentinazionaliitaliani,43.7783166667,11.2590611111,F628,Firenze,Basilica di San Marco (Firenze),Basilica of Saint Marco (Florence),"San Marco, Florence"
188,museidifirenze,43.7749333333,11.2534222222,F575,Firenze,Cappelle medicee,Cappelle Medicee,Medici Chapel
189,palazzidifirenze,43.7679388889,11.26055,FIPOIHPC1000000548,Firenze,Palazzo Corsini-Serristori,Palace Corsini-Serristori,
190,dipintidinardodicione,43.7750166667,11.2492027778,F521,Firenze,Cappella Strozzi di Mantova,Chapel Strozzi of Mantova,
191,piazzedifirenze,43.7798166667,11.2538,F561,Firenze,Piazza dell'Indipendenza,Square of the Indipendenza,
192,caffèstoricidifirenze,43.77115,11.253975,F697,Firenze,Caffè Le Giubbe Rosse,Caffè Le Giubbe Rosse,Caffè Giubbe Rosse
193,torridifirenze,43.7687638889,11.2536361111,F254,Firenze,Torre degli Amidei,Tower of the Amidei,
194,palazzidifirenze,43.767075,11.258975,F723,Firenze,Palazzo Malenchini Alberti,Palace Malenchini Alberti,
195,torridifirenze,43.7671833333,11.2527083333,F262,Firenze,Torre degli Ubriachi,Tower of the Ubriachi,
196,chiesededicateasanleonardo,43.7597333333,11.2553305556,F444,Firenze,Chiesa di San Leonardo in Arcetri,Church of Saint Leonardo in Arcetri,San Leonardo in Arcetri
197,museidifirenze,43.7640027778,11.2562805556,F464,Firenze,Museo Annigoni,Museum Annigoni,
198,casemuseo,43.7662861111,11.2541055556,F461,Firenze,Casa di Galileo (Firenze),House of Galileo (Florence),
199,cenacoliafirenze,43.7670305556,11.2475666667,F283,Firenze,Cenacolo di Santo Spirito,Cenacolo of Saint Spirito,
200,fontanedifirenze,43.7691138889,11.260825,F710,Firenze,Fontana di piazza Santa Croce,Fountain of Square Saint Croce,
201,scultureasoggettofunebre,43.7683555556,11.2631472222,F707,Firenze,Monumento funebre di Carlo Marsuppini,Monumento Funebre of Carlo Marsuppini,
202,palazzidifirenze,43.7680444444,11.261175,F714,Firenze,Palazzo Spinelli (Firenze),Palace Spinelli (Florence),
203,sagrestiedifirenze,43.7751638889,11.2538083333,F577,Firenze,Sagrestia Nuova,Sagrestia Nuova,
204,stradedifirenze,43.7669472222,11.2517888889,F266,Firenze,Via Guicciardini,Street Guicciardini,
205,piazzedifirenze,43.7673416667,11.2578055556,F246,Firenze,Piazza Mentana,Square Mentana,
206,palazzidifirenze,43.7696583333,11.2506055556,FIPOIHPC1000000994,Firenze,Palazzo Piccioli,Palace Piccioli,
207,stradedifirenze,43.7781388889,11.2508833333,FIPOIHPC1000000447,Firenze,Via Faenza,Street Faenza,
208,salecinematografichedifirenze,43.7767555556,11.2508944444,F559,Firenze,Cinema Apollo,Cinema Apollo,
209,tabernacolidifirenze,43.7677416667,11.2656055556,FIPOIHPC1000000676,Firenze,Tabernacolo di via dei Malcontenti,Tabernacolo of Street of the Malcontenti,
210,loggiadeilanzi,43.7692027778,11.2556583333,F157,Firenze,Loggia della Signoria,Loggia of the Signoria,Loggia dei Lanzi
211,chiesescomparsedifirenze,43.7668166667,11.2547111111,FIPOIHPC1000000671,Firenze,Chiesa di Santa Maria dei Bardi,Church of Saint Maria of the Bardi,
212,torridifirenze,43.7689638889,11.2542666667,F251,Firenze,Torre dei Rigaletti,Tower of the Rigaletti,
213,palazzidifirenze,43.770475,11.2489833333,F841,Firenze,Palazzo Corsini al Parione,Palace Corsini at the Parione,
214,architetturemilitaridifirenze,43.7630333333,11.2550527778,F458,Firenze,Porta San Giorgio (Firenze),Gate Saint Giorgio (Florence),
215,palazzidifirenze,43.7751805556,11.2530055556,F569,Firenze,Palazzo Benci,Palace Benci,
216,palazzovecchio,43.7693444444,11.2567916667,F153,Firenze,Salone dei Cinquecento,Salone of the Cinquecento,
217,torridifirenze,43.7708694444,11.2570527778,F877,Firenze,Torre della Castagna,Tower of the Castagna,
218,chiesescomparsedifirenze,43.7694305556,11.2578111111,F216,Firenze,Chiesa di San Fiorenzo,Church of Saint Fiorenzo,
