poiID,poiName_og,poiName,poiTheme_og,poiTheme,source
F854,Chiesa_di_San_Giuseppe_(via_Santa_Caterina_d'Alessandria),Church of Saint Joseph (Via Santa Caterina d'Alessandria),chiesedifirenze,churches of Florence,Wikipedia
F853,Chiesa_dei_Sette_Santi_Fondatori,Church of the Seven Holy Founders,chiesedifirenze,churches of Florence,Wikipedia
F853,Chiesa_dei_Sette_Santi_Fondatori,Church of the Seven Holy Founders,chiesededicateaisantisettefondatori,church dedicated to the Seven Holy Founders,Wikipedia
FIPOIHPC1000000538,Palazzo_Minerbetti,Minerbetti Palace,palazzidifirenze,Palaces of Florence,Wikipedia
FIPOIHPC1000000773,Palazzo_Portigiani,Portigiani Palace,palazzidifirenze,Palaces of Florence,Wikipedia
FIPOIHPC1000000772,Palazzo_Franceschi,Franceschi Palace,palazzidifirenze,Palaces of Florence,Wikipedia
F728,Via_de'_Rustici,Street of the Rustic/Country Folk,stradedifirenze,Street of the Rustic/Country Folk,Wikipedia
F896,Chiesa_di_Santa_Maria_degli_Angiolini,Church of Saint Mary of the Little Angels,chiesedifirenze,churches of Florence,Wikipedia
F896,Chiesa_di_Santa_Maria_degli_Angiolini,Church of Saint Mary of the Little Angels,chiesededicateasantamariadegliangeli,church dedicated to Saint Mary of the Angels,Wikipedia
F543,Orti_Oricellari,Horticultural Gardens Oricelli,giardinidifirenze,gardens of Florence,Wikipedia
F543,Orti_Oricellari,Horticultural Gardens Oricelli,statuecolossali,colossal statues,Wikipedia
F543,Orti_Oricellari,Horticultural Gardens Oricelli,monumentinazionaliitaliani,Italian national monuments,Wikipedia
F543,Orti_Oricellari,Horticultural Gardens Oricelli,accademianeoplatonica,Neoplatonic Academy Garden,Wikipedia
F549,Fortezza_da_Basso,Fortress of San Niccolò (or Fortezza da Basso),architetturemilitaridifirenze,military architectures of Florence,Wikipedia
F549,Fortezza_da_Basso,Fortress of San Niccolò (or Fortezza da Basso),firenzefiera,Florence Fairgrounds,Wikipedia
F549,Fortezza_da_Basso,Fortress of San Niccolò (or Fortezza da Basso),fortezzedellatoscana,Fortresses of Tuscany,Wikipedia
F168,Statua_equestre_di_Cosimo_I_de'_Medici,Equestrian statue of Cosimo I de' Medici,sculturedipiazzadellasignoria,statues of Piazza della Signoria,Wikipedia
F168,Statua_equestre_di_Cosimo_I_de'_Medici,Equestrian statue of Cosimo I de' Medici,scultureasoggettoritrattistico,portrait sculptural subject,Wikipedia
F168,Statua_equestre_di_Cosimo_I_de'_Medici,Equestrian statue of Cosimo I de' Medici,operedigiambologna,works by Giambologna,Wikipedia
F168,Statua_equestre_di_Cosimo_I_de'_Medici,Equestrian statue of Cosimo I de' Medici,monumentiequestri,equestrian monuments,Wikipedia
F820,Museo_Marino_Marini_(Firenze),Marino Marini Museum (Florence),museidifirenze,museums of Florence,Wikipedia
F820,Museo_Marino_Marini_(Firenze),Marino Marini Museum (Florence),museidiscultura,museums of culture,Wikipedia
F738,Chiesa_dei_Santi_Simone_e_Giuda_(Firenze),Church of Saints Simon and Jude (Florence),chiesedifirenze,churches of Florence,Wikipedia
F738,Chiesa_dei_Santi_Simone_e_Giuda_(Firenze),Church of Saints Simon and Jude (Florence),chiesededicateasangiudataddeoapostolo,church dedicated to Saints Simon and Jude the Apostle,Wikipedia
F738,Chiesa_dei_Santi_Simone_e_Giuda_(Firenze),Church of Saints Simon and Jude (Florence),chiesededicateasansimoneapostolo,church dedicated to Saint Simon Apostle,Wikipedia
F483,Chiesa_Evangelica_Luterana_(Firenze),Lutheran Evangelical Church (Florence),chiesedifirenze,churches of Florence,Wikipedia
F483,Chiesa_Evangelica_Luterana_(Firenze),Lutheran Evangelical Church (Florence),edificidicultoluteranod'italia,Lutheran Evangelical Church buildings of Italy,Wikipedia
F258,Chiesa_di_Santa_Felicita_(Firenze),Church of Saint Felicity (Florence),chiesedifirenze,churches of Florence,Wikipedia
F811,Ex_monastero_di_Sant'Anna_sul_Prato,Former Monastery of Saint Anne on the Meadow,chiesescomparsedifirenze,lost churches of Florence,Wikipedia
F811,Ex_monastero_di_Sant'Anna_sul_Prato,Former Monastery of Saint Anne on the Meadow,chiesededicateasant'anna,church dedicated to Saint Anne,Wikipedia
F636,Piazza_della_Santissima_Annunziata,Square of the Most Holy Annunciation,piazzedifirenze,Florence squares,Wikipedia
F280,Basilica_di_Santo_Spirito,Basilica of the Holy Spirit,basilicadisantospirito(firenze),Basilica of the Holy Spirit (Florence),Wikipedia
F280,Basilica_di_Santo_Spirito,Basilica of the Holy Spirit,basilichedifirenze,Basilica of Florence,Wikipedia
F280,Basilica_di_Santo_Spirito,Basilica of the Holy Spirit,monumentinazionaliitaliani,Italian national monuments,Wikipedia
F280,Basilica_di_Santo_Spirito,Basilica of the Holy Spirit,architetturedifilippobrunelleschi,architectures by Filippo Brunelleschi,Wikipedia
F813,Chiesa_di_San_Benedetto_(Firenze),Church of Saint Benedict (Florence),chiesedifirenze,churches of Florence,Wikipedia
F813,Chiesa_di_San_Benedetto_(Firenze),Church of Saint Benedict (Florence),chiesededicateasanbenedettodanorcia,Churches dedicated to Saint Benedict of Norcia,Wikipedia
F266,Via_Guicciardini,Guicciardini Street,stradedifirenze,streets of Florence,Wikipedia
FIPOIHPC1000000537,Via_dell'Oriuolo,Via dell'Oriuolo,stradedifirenze,streets of Florence,Wikipedia
FIPOIHPC1000001006,Lungarno_della_Zecca_Vecchia,Old Mint Road,stradedifirenze,streets of Florence,Wikipedia
F524,Trinità_(Masaccio),The Holy Trinity (Masaccio),dipintisullatrinità,paintings on the Trinity,Wikipedia
F524,Trinità_(Masaccio),The Holy Trinity (Masaccio),dipintidimasaccio,paintings by Masaccio,Wikipedia
F524,Trinità_(Masaccio),The Holy Trinity (Masaccio),basilicadisantamarianovella,Basilica di Santa Maria Novella,Wikipedia
FIPOIHPC1000000535,Palazzo_Lenzi,Lenzi Palace,palazzidifirenze,Palaces of Florence,Wikipedia
FIPOIHPC1000000871,Teatro_Mediceo,Medici Theatre,teatridifirenze,theatres of Florence,Wikipedia
FIPOIHPC1000000871,Teatro_Mediceo,Medici Theatre,architetturescomparsedifirenze,lost architectures of Florence,Wikipedia
F376,Museo_di_storia_naturale_sezione_di_zoologia_La_Specola,"Museum of Natural History, Zoology Section, La Specola",museidifirenze,museums of Florence,Wikipedia
F376,Museo_di_storia_naturale_sezione_di_zoologia_La_Specola,"Museum of Natural History, Zoology Section, La Specola",museiuniversitari,university museums,Wikipedia
F376,Museo_di_storia_naturale_sezione_di_zoologia_La_Specola,"Museum of Natural History, Zoology Section, La Specola",museiscientificid'italia,scientific museums of Italy,Wikipedia
F339,Palazzo_Larderel,Larderel Palace,palazzidifirenze,Florentine palaces,Wikipedia
F607,Palazzo_Medici_Riccardi,Medici Riccardi Palace,palazzidifirenze,Florentine palaces,Wikipedia
F607,Palazzo_Medici_Riccardi,Medici Riccardi Palace,museidifirenze,Florence museums,Wikipedia
F607,Palazzo_Medici_Riccardi,Medici Riccardi Palace,residenzedeimedici,Medici residences,Wikipedia
F607,Palazzo_Medici_Riccardi,Medici Riccardi Palace,architetturedimichelozzo,architectures by Michelozzo,Wikipedia
FIPOIHPC1000000648,Sala_di_Clemente_VII,Hall of Clement VII,ciclidiaffreschidifirenze,Florence's fresco cycles,Wikipedia
FIPOIHPC1000000648,Sala_di_Clemente_VII,Hall of Clement VII,palazzovecchio,Old Palace,Wikipedia
FIPOIHPC1000000425,Tempio_Maggiore_Israelitico_di_Firenze,Great Synagogue of Florence,sinagoghedifirenze,Florence synagogues,Wikipedia
FIPOIHPC1000000425,Tempio_Maggiore_Israelitico_di_Firenze,Great Synagogue of Florence,museiebraicid'italia,Jewish Museums of Italy,Wikipedia
FIPOIHPC1000000425,Tempio_Maggiore_Israelitico_di_Firenze,Great Synagogue of Florence,architetturaneomoresca,Neo-Moorish architecture,Wikipedia
F271,Torri_dei_Barbadori,Towers of the Barbadori,torridifirenze,Towers of Florence,Wikipedia
FIPOIHPC1000000620,Chiesa_di_San_Michele_alle_Trombe,Church of Saint Michael at the Trombe,chiesescomparsedifirenze,churches disappeared from Florence,Wikipedia
FIPOIHPC1000000620,Chiesa_di_San_Michele_alle_Trombe,Church of Saint Michael at the Trombe,chiesededicateasanmichelearcangelo,church dedicated to Saint Michael Archangel,Wikipedia
F329,Basilica_di_Santa_Trinita,Basilica of the Holy Trinity,basilicadisantatrinita(firenze),Basilica of the Holy Trinity (Florence),Wikipedia
F329,Basilica_di_Santa_Trinita,Basilica of the Holy Trinity,chiesededicateallatrinità,churches dedicated to the Holy Trinity,Wikipedia
F846,Torre_degli_Albizi,Tower of the Albizzi Family,torridifirenze,towers of Florence,Wikipedia
F851,Chiesa_di_Santa_Lucia_sul_Prato,Church of Saint Lucy on the Meadow,chiesedifirenze,churches of Florence,Wikipedia
F851,Chiesa_di_Santa_Lucia_sul_Prato,Church of Saint Lucy on the Meadow,chiesededicateasantalucia,church dedicated to Saint Lucy,Wikipedia
F125,Chiesa_di_Santa_Reparata,Church of Saint Reparata,chiesescomparsedifirenze,lost churches of Florence,Wikipedia
F125,Chiesa_di_Santa_Reparata,Church of Saint Reparata,cattedraledisantamariadelfiore,Cathedral of Santa Maria del Fiore,Wikipedia
F252,Torre_dei_Salterelli,Tower of the Salterelli,torridifirenze,towers of Florence,Wikipedia
F891,Torre_dei_Sacchetti,Tower of the Sacchetti Family,torridifirenze,towers of Florence,Wikipedia
F892,Torre_dei_Visdomini,Tower of the Visdomini,torridifirenze,towers of Florence,Wikipedia
F695,Torre_degli_Strozzi,Strozzi Tower,torridifirenze,towers of Florence,Wikipedia
F719,Torre_degli_Alberti,Tower of the Alberti Family,torridifirenze,towers of Florence,Wikipedia
F345,Torre_dei_Gianfigliazzi,Tower of the Gianfigliazzi Family,torridifirenze,towers of Florence,Wikipedia
F538,Chiesa_di_San_Jacopo_di_Ripoli,Church of Saint James at Ripoli,chiesedifirenze,churches of Florence,Wikipedia
F537,Chiesa_di_San_Martino_in_Santa_Maria_della_Scala,Church of Saint Martin in Santa Maria della Scala,chiesedifirenze,churches of Florence,Wikipedia
F537,Chiesa_di_San_Martino_in_Santa_Maria_della_Scala,Church of Saint Martin in Santa Maria della Scala,chiesededicateasanmartinoditours,church dedicated to Saint Martin in Tours,Wikipedia
F534,Oratorio_dei_Santi_Jacopo_e_Filippo,Oratory of Saints James and Philip,chiesedifirenze,churches of Florence,Wikipedia
F534,Oratorio_dei_Santi_Jacopo_e_Filippo,Oratory of Saints James and Philip,oratoridellatoscana,Tuscan oratories,Wikipedia
F533,Farmacia_di_Santa_Maria_Novella,Pharmacy of Santa Maria Novella,architetturedifirenze,architecture of Florence,Wikipedia
F533,Farmacia_di_Santa_Maria_Novella,Pharmacy of Santa Maria Novella,basilicadisantamarianovella,Basilica di Santa Maria Novella,Wikipedia
F849,Chiesa_Cristiana_Evangelica_dei_Fratelli,Christian Evangelical Church of the Brethren,chieseprotestantiinitalia,Protestant churches in Italy,Wikipedia
F215,Chiesa_di_Sant'Apollinare_(Firenze),Church of Saint Apollinarus (Florence),chiesescomparsedifirenze,lost churches of Florence,Wikipedia
F215,Chiesa_di_Sant'Apollinare_(Firenze),Church of Saint Apollinarus (Florence),chiesededicateasant'apollinarediravenna,Churches dedicated to Saint Apollinarus in Ravenna,Wikipedia
F850,Chiesa_di_Santa_Maria_dei_Battilani,Church of Santa Maria dei Battilani,chiesedifirenze,churches of Florence,Wikipedia
F850,Chiesa_di_Santa_Maria_dei_Battilani,Church of Santa Maria dei Battilani,chiesesconsacratedifirenze,churches consecrated in Florence,Wikipedia
F850,Chiesa_di_Santa_Maria_dei_Battilani,Church of Santa Maria dei Battilani,edificidicultodedicatiamaria,buildings dedicated to Mary,Wikipedia
F440,Cimitero_delle_Porte_Sante,Cemetery of the Holy Gates,cimiteridifirenze,cemeteries of Florence,Wikipedia
F440,Cimitero_delle_Porte_Sante,Cemetery of the Holy Gates,cimiterimonumentali,monumental cemeteries,Wikipedia
F440,Cimitero_delle_Porte_Sante,Cemetery of the Holy Gates,basilicadisanminiatoalmonte,Basilica di San Miniato al Monte,Wikipedia
F401,Cappella_Corsini,Corsini Chapel,cappelledifirenze,chapels of Florence,Wikipedia
F401,Cappella_Corsini,Corsini Chapel,basilicadisantamariadelcarmine(firenze),Basilica di Santa Maria del Carmine (Florence),Wikipedia
F673,Via_della_Canonica,Canonica Street,stradedifirenze,Street of Florence,Wikipedia
F436,Basilica_di_San_Miniato_al_Monte,Basilica of Saint Minias at the Mountain,basilicadisanminiatoalmonte,Basilica of San Miniato al Monte,Wikipedia
F436,Basilica_di_San_Miniato_al_Monte,Basilica of Saint Minias at the Mountain,architettureromanichedifirenze,Romanesque architecture of Florence,Wikipedia
F486,Palazzo_Canigiani,Canigiani Palace,palazzidifirenze,Palaces of Florence,Wikipedia
F819,Chiesa_di_San_Pancrazio_(Firenze),Church of Saint Pancras (Florence),chiesedifirenze,churches of Florence,Wikipedia
F819,Chiesa_di_San_Pancrazio_(Firenze),Church of Saint Pancras (Florence),chiesesconsacratedifirenze,consecrated churches of Florence,Wikipedia
F819,Chiesa_di_San_Pancrazio_(Firenze),Church of Saint Pancras (Florence),chiesededicateasanpancraziomartire,church dedicated to Saint Pancras the martyr,Wikipedia
F558,Via_Nazionale_(Firenze),National Road (Florence),stradedifirenze,roads of Florence,Wikipedia
F604,Palazzo_Tolomei_(Firenze),Palazzo Tolomei (Florence),palazzidifirenze,Florentine Palaces,Wikipedia
F491,Ippodromo_delle_Cascine,Cascine Hippodrome,impiantisportividifirenze,Florence sports facilities,Wikipedia
F491,Ippodromo_delle_Cascine,Cascine Hippodrome,ippodromidellatoscana,Tuscan Hippodromes,Wikipedia
FIPOIHPC1000000629,Studiolo_di_Cosimo_I,Cosimo I's Study,palazzovecchio,Old Palace,Wikipedia
FIPOIHPC1000000629,Studiolo_di_Cosimo_I,Cosimo I's Study,studioli,small studies,Wikipedia
FIPOIHPC1000000628,Terminal_degli_autobus_di_Santa_Maria_Novella,Santa Maria Novella Bus Terminal,architetturescomparsedifirenze,lost architectures of Florence,Wikipedia
FIPOIHPC1000000995,Via_di_Capaccio,Capaccio Street,stradedifirenze,streets of Florence,Wikipedia
F237,Chiesa_di_San_Pier_Scheraggio,Church of San Pier Scheraggio,chiesescomparsedifirenze,lost churches of Florence,Wikipedia
F237,Chiesa_di_San_Pier_Scheraggio,Church of San Pier Scheraggio,uffizi,offices,Wikipedia
F600,Palazzo_Barbolani_di_Montauto,Barbolani di Montauto Palace,palazzidifirenze,Palaces of Florence,Wikipedia
F522,Cappella_Tornabuoni,Tornabuoni Chapel,dipintididomenicoghirlandaio,painted by Domenico Ghirlandaio,Wikipedia
F522,Cappella_Tornabuoni,Tornabuoni Chapel,cappelledifirenze,chapels of Florence,Wikipedia
F522,Cappella_Tornabuoni,Tornabuoni Chapel,ciclidiaffreschidifirenze,Florence cycle of frescoes,Wikipedia
F522,Cappella_Tornabuoni,Tornabuoni Chapel,basilicadisantamarianovella,Basilica di Santa Maria Novella,Wikipedia
F522,Cappella_Tornabuoni,Tornabuoni Chapel,dipintisusangiovannibattista,paintings by Giovanni Battista,Wikipedia
F522,Cappella_Tornabuoni,Tornabuoni Chapel,dipintisusanzaccaria,paintings by Sandro Botticelli,Wikipedia
F522,Cappella_Tornabuoni,Tornabuoni Chapel,dipintisusant'elisabetta,paintings by Saint Elizabeth,Wikipedia
F627,Monumento_al_Generale_Manfredo_Fanti,Monument to General Manfredo Fanti,monumentidifirenze,Florence monuments,Wikipedia
F627,Monumento_al_Generale_Manfredo_Fanti,Monument to General Manfredo Fanti,sculturebronzee,bronze sculptures,Wikipedia
F749,Loggia_del_Pesce,Fish Loggia,loggedifirenze,Florence Fish Loggias,Wikipedia
F561,Piazza_dell'Indipendenza,Independence Square,piazzedifirenze,squares of Florence,Wikipedia
FIPOIHPC1000000902,Viale_Antonio_Gramsci,Antonio Gramsci Avenue,stradedifirenze,streets of Florence,Wikipedia
F761,Viale_Giovine_Italia,Avenue Young Italy,stradedifirenze,Florence streets,Wikipedia
FIPOIHPC1000000900,Istituto_Storico_della_Resistenza_in_Toscana,Historical Institute of the Resistance in Tuscany,accademieeistitutidiculturadellatoscana,"Academies, Institutes and Cultural Centers of Tuscany",Wikipedia
FIPOIHPC1000000900,Istituto_Storico_della_Resistenza_in_Toscana,Historical Institute of the Resistance in Tuscany,associazionilegateallaresistenzaitaliana,associations linked to the Italian Resistance,Wikipedia
FIPOIHPC1000000900,Istituto_Storico_della_Resistenza_in_Toscana,Historical Institute of the Resistance in Tuscany,resistenzaitaliananellacultura,Italian Resistance in Culture,Wikipedia
FIPOIHPC1000000900,Istituto_Storico_della_Resistenza_in_Toscana,Historical Institute of the Resistance in Tuscany,istitutidilinguaecultura,Institutes of Language and Culture,Wikipedia
FIPOIHPC1000000900,Istituto_Storico_della_Resistenza_in_Toscana,Historical Institute of the Resistance in Tuscany,storiadellatoscana,History of Tuscany,Wikipedia
FIPOIHPC1000000900,Istituto_Storico_della_Resistenza_in_Toscana,Historical Institute of the Resistance in Tuscany,associazioniconsedeafirenze,association headquarters in Florence,Wikipedia
FIPOIHPC1000000900,Istituto_Storico_della_Resistenza_in_Toscana,Historical Institute of the Resistance in Tuscany,organizzazioniantifasciste,anti-fascist organizations,Wikipedia
F687,Banco_di_Sicilia_(Firenze),Bank of Sicily (Florence),sedibancariedifirenze,Florence branch offices of banks,Wikipedia
F658,Palazzo_Buontalenti,Buontalenti Palace,palazzidifirenze,Florentine palaces,Wikipedia
F663,Galleria_dell'Accademia,Gallery of the Academy,galleriadell'accademia,Gallery of the Academy,Wikipedia
F663,Galleria_dell'Accademia,Gallery of the Academy,pinacoteched'italia,Italian galleries,Wikipedia
F762,Viale_Giovanni_Amendola,Giovanni Amendola Boulevard,stradedifirenze,streets of Florence,Wikipedia
F388,Casa_Guidi,House of Guidi,museidifirenze,museums of Florence,Wikipedia
F388,Casa_Guidi,House of Guidi,casemuseo,house museum,Wikipedia
F388,Casa_Guidi,House of Guidi,palazzidifirenze,Palaces of Florence,Wikipedia
FIPOIHPC1000000908,Viale_Alessandro_Guidoni,Viale Alessandro Guidoni,stradedifirenze,streets of Florence,Wikipedia
F406,Piazza_Piattellina,Piattellina Square,piazzedifirenze,squares of Florence,Wikipedia
F219,Via_Ghibellina,Ghibelline Street,stradedifirenze,Street of Florence,Wikipedia
FIPOIHPC1000000644,Chiesa_di_San_Donato_in_Polverosa,Church of Saint Donatus in Polverosa,chiesedifirenze,churches of Florence,Wikipedia
F639,Spedale_degli_Innocenti,Hospital of the Innocents,spedaledegliinnocenti,Hospital of the Innocents,Wikipedia
F667,Teatro_Niccolini_(Firenze),Niccolini Theatre (Florence),teatridifirenze,theatres of Florence,Wikipedia
F667,Teatro_Niccolini_(Firenze),Niccolini Theatre (Florence),teatristabili,stable theatres,Wikipedia
FIPOIHPC1000000521,Gran_Caffè_Doney,Grand Café Doney,caffèstoricidifirenze,historic cafes of Florence,Wikipedia
F285,Biblioteca_Pietro_Thouar,Pietro Thouar Library,bibliotechedifirenze,Florence libraries,Wikipedia
FIPOIHPC1000000753,Palazzo_Calcagnini,Calcagnini Palace,palazzidifirenze,Palaces of Florence,Wikipedia
FIPOIHPC1000000752,Tabernacolo_di_Montiloro,Montiloro Tabernacle,tabernacolidifirenze,tabernacles of Florence,Wikipedia
F465,Piazza_de'_Mozzi,Mozzi Square,piazzedifirenze,squares of Florence,Wikipedia
FIPOIHPC1000000699,Via_Por_Santa_Maria,Via del Por Santa Maria,stradedifirenze,streets of Florence,Wikipedia
F514,Residenza_Contini_Bonacossi,Contini Bonacossi Residence,palazzidifirenze,Florence palaces,Wikipedia
FIPOIHPC1000000755,Palazzo_della_Questura_(Firenze),Police Headquarters Palace (Florence),palazzidifirenze,Palaces of Florence,Wikipedia
FIPOIHPC1000000755,Palazzo_della_Questura_(Firenze),Police Headquarters Palace (Florence),architetturemilitaridifirenze,military architectures of Florence,Wikipedia
F737,Via_dell'Anguillara,Anguillara Street,stradedifirenze,streets of Florence,Wikipedia
FIPOIHPC1000000447,Via_Faenza,Via Faenza Street,stradedifirenze,streets of Florence,Wikipedia
F642,Statua_equestre_di_Ferdinando_I_de'_Medici,Equestrian statue of Ferdinand I de' Medici,monumentidifirenze,Florence monuments,Wikipedia
F642,Statua_equestre_di_Ferdinando_I_de'_Medici,Equestrian statue of Ferdinand I de' Medici,operedigiambologna,works by Giambologna,Wikipedia
F642,Statua_equestre_di_Ferdinando_I_de'_Medici,Equestrian statue of Ferdinand I de' Medici,monumentiequestri,equestrian monuments,Wikipedia
F643,Fontane_dei_mostri_marini,Fountains of Sea Monsters,fontanedifirenze,fountains of Florence,Wikipedia
F585,Piazza_del_Mercato_Centrale,Central Market Square,piazzedifirenze,Florence squares,Wikipedia
F662,Via_Ricasoli,Via Ricasoli,stradedifirenze,streets of Florence,Wikipedia
F229,Via_della_Vigna_Vecchia,Old Vineyard Street,stradedifirenze,streets of Florence,Wikipedia
FIPOIHPC1000000695,Via_dei_Fossi,Street of the Ditches,stradedifirenze,Street of the Ditches,Wikipedia
F841,Palazzo_Corsini_al_Parione,Corsini Palace at Parione,palazzidifirenze,Florence palaces,Wikipedia
F840,Museo_di_storia_naturale_sezione_di_mineralogia_e_litologia,"Natural History Museum, Mineralogy and Lithology Section",mineralogia,Mineralogy,Wikipedia
F840,Museo_di_storia_naturale_sezione_di_mineralogia_e_litologia,"Natural History Museum, Mineralogy and Lithology Section",museidifirenze,museums of Florence,Wikipedia
F840,Museo_di_storia_naturale_sezione_di_mineralogia_e_litologia,"Natural History Museum, Mineralogy and Lithology Section",museidistorianaturale,natural history museums,Wikipedia
F840,Museo_di_storia_naturale_sezione_di_mineralogia_e_litologia,"Natural History Museum, Mineralogy and Lithology Section",museidiscienzedellaterrad'italia,Museum of Earth Sciences of Italy,Wikipedia
F380,Giardino_Corsi_Annalena,Corsini Gardens Annalena,giardinidifirenze,gardens of Florence,Wikipedia
F842,Giardino_Corsini,Corsini Garden,giardinidifirenze,Gardens of Florence,Wikipedia
F797,Chiesa_di_Sant'Egidio_(Firenze),Church of Saint Egidius (Florence),chiesedifirenze,churches of Florence,Wikipedia
F788,Oratorio_di_Gesù_Pellegrino,Oratory of Jesus Pilgrim,chiesedifirenze,churches of Florence,Wikipedia
F789,Chiesa_di_Sant'Agata_(Firenze),Church of Saint Agatha (Florence),chiesedifirenze,churches of Florence,Wikipedia
F789,Chiesa_di_Sant'Agata_(Firenze),Church of Saint Agatha (Florence),chiesededicateasant'agatamartire,church dedicated to Saint Agatha the Martyr,Wikipedia
F407,Chiesa_di_Santa_Monica_(Firenze),Church of Saint Monica (Florence),chiesedifirenze,churches of Florence,Wikipedia
F407,Chiesa_di_Santa_Monica_(Firenze),Church of Saint Monica (Florence),chiesesconsacratedifirenze,consecrated churches of Florence,Wikipedia
F624,Piazza_San_Marco_(Firenze),Saint Mark's Square (Florence),piazzedifirenze,squares of Florence,Wikipedia
F796,Chiesa_dei_Santi_Vito_e_Modesto_(Firenze),Church of Saints Vito and Modestus (Florence),chiesedifirenze,churches of Florence,Wikipedia
F474,Chiesa_di_San_Niccolò_Oltrarno,Church of Saint Nicholas Oltrarno,chiesedifirenze,churches of Florence,Wikipedia
FIPOIHPC1000000800,Palazzo_de'_Nobili,Palace of the Nobles,palazzidifirenze,Palaces of Florence,Wikipedia
F716,Teatro_dei_Concordi_(Firenze),Theater of Concord (Florence),teatridifirenze,theatres of Florence,Wikipedia
F316,Grotta_di_Mosè,Grotto of Moses,fontanedifirenze,Fountains of Florence,Wikipedia
F316,Grotta_di_Mosè,Grotto of Moses,grotteartificiali,artificial grottoes,Wikipedia
F316,Grotta_di_Mosè,Grotto of Moses,palazzopitti,Pitti Palace,Wikipedia
FIPOIHPC1000000962,Teatro_Diurno,Day Theatre,teatridifirenze,theatres of Florence,Wikipedia
F556,Cenacolo_di_Fuligno,Refectory of Fuligno,cenacoliafirenze,refectories of Florence,Wikipedia
F821,Chiesa_di_San_Salvi,Church of San Salvi,chiesedifirenze,churches of Florence,Wikipedia
F149,Palazzo_dell'Arte_dei_Mercatanti,Palace of the Merchants' Art,palazzidelleartidifirenze,Palaces of the Arts Guilds of Florence,Wikipedia
F318,Giardino_di_Boboli,Boboli Gardens,boboli,Boboli Gardens,Wikipedia
F466,Palazzo_dei_Mozzi,Mozzi Palace,palazzidifirenze,Palaces of Florence,Wikipedia
F158,Perseo_con_la_testa_di_Medusa,Perseus with the Head of Medusa,sculturedibenvenutocellini,Sculptures by Benvenuto Cellini,Wikipedia
F158,Perseo_con_la_testa_di_Medusa,Perseus with the Head of Medusa,sculturenellaloggiadeilanzi,sculpture in the Loggia dei Lanzi,Wikipedia
F158,Perseo_con_la_testa_di_Medusa,Perseus with the Head of Medusa,sculturebronzee,bronze sculptures,Wikipedia
FIPOIHPC1000000965,Annunciazione_Cavalcanti,Cavalcanti Annunciation,scultureafirenze,Florence sculptures,Wikipedia
FIPOIHPC1000000965,Annunciazione_Cavalcanti,Cavalcanti Annunciation,sculturedidonatello,Donatello sculptures,Wikipedia
FIPOIHPC1000000965,Annunciazione_Cavalcanti,Cavalcanti Annunciation,scultureinpietrevarie,sculptures in various stones,Wikipedia
FIPOIHPC1000000965,Annunciazione_Cavalcanti,Cavalcanti Annunciation,scultureasoggettoreligioso,religious subject sculpture,Wikipedia
